,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption
2022-11-22,5.1896179496246955,1.1314021114911006,3.3068867021909143,4.384523514872469,1.4586150226995167,4.455509411433685,2.0196067694470345,4.204692619390966,2.8496069719915424,4.26549281841793,2.89591193827178,2.4849066497880004,5.98770749823027,4.887337077751762,3.529297384289471,4.04305126783455,3.342861804649192,5.372032404370318,4.3267781604434035,6.260919001285442,1.3609765531356006,2.0412203288596382,1.0296194171811583,5.724891437866436,1.1631508098056809,4.5880240271531205,,4.866764923676554,5.705114919889979,1.0296194171811583,5.678464666671911,5.122176668829163,,5.72194977861165,3.629660094453965,4.817050545023591,8.242993159777077
2022-11-23,5.168208681201016,1.1939224684724346,3.3141860046725258,4.400603020246817,1.4816045409242156,4.465908118654584,2.0196067694470345,4.192680462942962,2.8496069719915424,4.2626798770413155,2.9014215940827497,2.5257286443082556,5.970240910656355,4.90453376321371,3.5524868292083815,4.055257173514054,3.342861804649192,5.3389793482669266,4.324132656254979,6.276455501748272,1.3609765531356006,2.0541237336955462,1.0647107369924282,5.738183901373533,1.1631508098056809,4.636668853047462,,4.883559211528279,5.68561850402853,1.0296194171811583,5.7120812774708964,5.14574876790343,,5.724891437866436,3.6609942506244004,4.81380905109942,8.247665329544498
2022-11-24,5.190175207928333,1.1631508098056809,3.3250360206965914,4.375757021660286,1.4816045409242156,4.475061500641071,2.0196067694470345,4.200204952921578,2.8496069719915424,4.257030144499196,2.8622008809294686,2.653241964607215,5.995207533386816,4.912654885736052,3.5322256440685598,4.027135812528651,3.332204510175204,5.298317366548036,4.328098292648326,6.27814611922618,1.3609765531356006,2.0541237336955462,1.0647107369924282,5.737861788309064,1.1631508098056809,4.624972813284271,,4.917788743729904,5.700443573390687,1.0296194171811583,5.719983853994209,5.158480421360237,,5.732369931508114,3.655839600035736,4.811371016571989,8.25281089208543
2022-11-25,5.21057845224003,1.1631508098056809,3.3214324131932926,4.426043520090656,1.4816045409242156,4.470495282661489,2.0196067694470345,4.23410650459726,2.8496069719915424,4.248495242049359,2.884800712846709,2.681021528714291,5.988961416889864,4.911919321157098,3.5380565643793527,4.05871738457895,3.292126286607793,5.333684510385328,4.3425058765115985,6.288787496596443,1.3609765531356006,2.066862759472976,1.0296194171811583,5.737861788309064,1.1631508098056809,4.623010104116422,,4.935911747900319,5.718342625987531,1.0296194171811583,5.7477993600729755,5.168777995193051,,5.724565013838729,3.673765816303888,4.808927023502111,8.262507372092148
2022-11-26,5.221436322212079,1.1631508098056809,3.3105430133940246,4.377014092850337,1.4586150226995167,4.462453883786496,2.0196067694470345,4.160444363926624,2.8496069719915424,4.259859000699674,2.928523523860541,2.580216829592325,5.981414211254481,4.9104465668408235,3.543853682063679,4.037774210733707,3.353406717825807,5.324959297494458,4.355425952876702,6.292864596387959,1.3609765531356006,2.0794415416798357,1.0647107369924282,5.734311679691024,1.1631508098056809,4.653007515402251,,4.922168312773925,5.711419901785413,0.9932517730102833,5.746203190540153,5.146331009550155,,5.708438286192395,3.6428355156125294,4.797442073635214,8.256892795705673
2022-11-27,5.206202077640231,1.1314021114911006,3.246490991901174,4.37449836825309,1.3862943611198906,4.468204330914934,2.0196067694470345,4.127134385045092,2.8496069719915424,4.213607983048918,2.9231615807191558,2.4932054526026954,5.943061807879815,4.81380905109942,3.4873750779032076,4.041295341132285,3.32862668882732,5.2663105704129505,4.2612704335380815,6.268527940411622,1.3609765531356006,2.066862759472976,1.0296194171811583,5.725543966437714,1.0986122886681098,4.6568134191399295,,4.865224091322398,5.711750644305378,0.8754687373538999,5.635860458170742,5.1029105702054265,,5.6937321388027,3.5667118201397288,4.722063937459591,8.21970317797337
2022-11-28,5.2192741592075835,1.1631508098056809,3.269568939183719,4.356708826689592,1.4586150226995167,4.467056883858457,2.0196067694470345,4.189654742026425,2.8496069719915424,4.23410650459726,2.917770732084279,2.5726122302071057,5.974826905954958,4.872904620630176,3.529297384289471,4.051784947803305,3.342861804649192,5.359412465907847,4.3267781604434035,6.291198700583904,1.3609765531356006,2.0794415416798357,1.0647107369924282,5.725543966437714,1.1939224684724346,4.604169685654508,,4.906755163608864,5.711419901785413,0.9932517730102833,5.701446414858653,5.146331009550155,,5.702448251643064,3.629660094453965,4.774068722449905,8.247560576369072
2022-11-29,5.2235938203521,1.1631508098056809,3.3032169733019514,4.370712874773608,1.4816045409242156,4.4796069630127455,2.0196067694470345,4.192680462942962,2.8496069719915424,4.255612709818223,2.9338568698359038,2.580216829592325,5.978379307559327,4.917788743729904,3.5380565643793527,4.05871738457895,3.339321977944068,5.294811227218749,4.343805421853684,6.290828124333601,1.3609765531356006,2.0412203288596382,1.0647107369924282,5.738827816399001,1.1631508098056809,4.551769409260976,,4.9141243937154115,5.724891437866436,1.0296194171811583,5.718014056902925,5.147494476813453,,5.712411801354255,3.648057459593681,4.793308128103486,8.252081155279527
2022-11-30,5.242275975664412,1.1939224684724346,3.3214324131932926,4.390738575275903,1.4816045409242156,4.481871969643598,2.0196067694470345,4.212127597878484,2.8496069719915424,4.26689632742025,2.8094026953624973,2.5572273113676265,5.974318388273011,4.929425238670713,3.5610460826040513,4.050044303325521,3.353406717825807,5.363168338867653,4.354141431184346,6.28469370598888,1.33500106673234,2.0918640616783932,1.0647107369924282,5.745244264463795,1.1631508098056809,4.5612182984589085,,4.944495491591711,5.709101636133801,1.0296194171811583,5.726847747587197,5.161351511474879,,5.707774495925738,3.655839600035736,4.808927023502111,8.258940462988459
2022-12-01,5.258536496536192,1.252762968495368,3.3105430133940246,4.354141431184346,1.4816045409242156,4.486386649998124,2.01755594796934,4.212127597878484,2.8787032638933696,4.219507705176107,2.8903717578961645,2.6390573296152584,5.938591057500914,4.909709375506295,3.5496173867804286,4.041295341132285,3.295836866004329,5.391352232515226,4.355425952876702,6.273442884143084,1.33500106673234,2.0412203288596382,1.0296194171811583,5.734634938138965,1.1631508098056809,4.548599834499697,,4.914858338702487,5.714722414694536,1.0296194171811583,5.717356594683319,5.175019150203543,,5.681195975983405,3.6375861597263857,4.774912960575186,8.24847679480727
